Year,Country,Inflation
2011,Sweden,2.961150738
2012,Sweden,0.888377507
2013,Sweden,-0.04429297
2014,Sweden,-0.179638494
2015,Sweden,-0.046784745
2016,Sweden,0.984269245
2017,Sweden,1.794499047
2018,Sweden,1.953535301
2019,Sweden,1.784150974
2020,Sweden,0.497367319
2021,Sweden,2.163197364
2000,Turkiye,54.91537058
2001,Turkiye,54.40018876
2002,Turkiye,44.96412095
2003,Turkiye,21.60243845
2004,Turkiye,8.598261681
2005,Turkiye,8.179160368
2006,Turkiye,9.597242123
2007,Turkiye,8.75618091
2008,Turkiye,10.44412838
2009,Turkiye,6.250976631
2010,Turkiye,8.566444206
2011,Turkiye,6.471879671
2012,Turkiye,8.891569965
2013,Turkiye,7.493090305
2014,Turkiye,8.854572714
2015,Turkiye,7.670853648
2016,Turkiye,7.775134153
2017,Turkiye,11.14431108
2018,Turkiye,16.3324639
2019,Turkiye,15.17682157
2020,Turkiye,12.27895745
2021,Turkiye,19.59649269
2000,Ukraine,28.20309724
2001,Ukraine,11.95880854
2002,Ukraine,0.757420846
2003,Ukraine,5.179677819
2004,Ukraine,9.048067861
2005,Ukraine,13.56957649
2006,Ukraine,9.052524911
2007,Ukraine,12.83877962
2008,Ukraine,25.22646171
2009,Ukraine,15.88119246
2010,Ukraine,9.372931051
2011,Ukraine,7.955724663
2012,Ukraine,0.568727972
2013,Ukraine,-0.238948626
2014,Ukraine,12.07185629
2015,Ukraine,48.69986464
2016,Ukraine,13.9127102
2017,Ukraine,14.43832275
2018,Ukraine,10.95185594
2019,Ukraine,7.886717456
2020,Ukraine,2.732492094
2021,Ukraine,0
2000,Kosovo,0
2001,Kosovo,0
2002,Kosovo,0
2003,Kosovo,-1.084812623
2004,Kosovo,-1.064726966
2005,Kosovo,-1.385189132
2006,Kosovo,0.621646939
2007,Kosovo,4.358496953
2008,Kosovo,9.350417647
2009,Kosovo,-2.410264017
2010,Kosovo,3.480507637
2011,Kosovo,7.336417713
2012,Kosovo,2.476737822
2013,Kosovo,1.767324284
2014,Kosovo,0.428957808
2015,Kosovo,-0.536929393
2016,Kosovo,0.273169431
2017,Kosovo,1.488234306
2018,Kosovo,1.053797737
2019,Kosovo,2.675992026
2020,Kosovo,0.198227923
2021,Kosovo,3.353691392
